"year","agency","type","pop","tot","weight","add_weight","Low","High","TotRate","WeightRate","AddRate","LowRate","HighRate","ori"
2021,"ODESSA PD","City",128328,57,73.6995805986959,16.6995805986959,72.5160042534635,75.5449826986418,44.4174303347672,57.4306313498971,13.0132010151299,56.5083257383139,58.8686667747037,"TX0680200"
2022,"ODESSA PD","City",110163,51,65.6737307308458,14.6737307308458,64.4833484627549,67.5923968362173,46.2950355382479,59.6150529041927,13.3200173659449,58.5344884060482,61.3567139930987,"TX0680200"
2016,"MONTGOMERY COUNTY PD ROCKVILLE","County",1027318,1,1.39062677345782,0.390626773457822,1.21066613812643,1.64634654342675,0.0973408428548901,0.135364782224961,0.0380239393700706,0.117847262301101,0.160256760168395,"MD0160400"
2017,"MONTGOMERY COUNTY PD ROCKVILLE","County",1034920,33,42.8132604300963,9.81326043009633,41.8829964848401,44.3193306615675,3.18865226297685,4.13686665926799,0.948214396291146,4.04697913701929,4.28239193962504,"MD0160400"
2018,"MONTGOMERY COUNTY PD ROCKVILLE","County",1042452,29,38.2606873681022,9.26068736810219,37.2317622073221,39.9762916125858,2.78190266794059,3.67025890574359,0.888356237803006,3.57155650402341,3.83483283763529,"MD0160400"
2019,"MONTGOMERY COUNTY PD ROCKVILLE","County",1037258,45,59.3954304958895,14.3954304958895,58.134504312396,61.4819589700718,4.33836133343874,5.72619642325145,1.38783508981271,5.60463301438948,5.92735452221837,"MD0160400"
2020,"MONTGOMERY COUNTY PD ROCKVILLE","County",1036020,33,43.3809589175368,10.3809589175368,42.5327781772144,44.5903497615538,3.18526669369317,4.18727041153035,1.00200371783718,4.10540126418548,4.30400472592747,"MD0160400"
2021,"MONTGOMERY COUNTY PD ROCKVILLE","County",1054042,49,66.076519524159,17.076519524159,64.5882065399975,68.2785814892841,4.64877111158758,6.26886969628905,1.62009858470146,6.12766915739576,6.47778565648087,"MD0160400"
2022,"MONTGOMERY COUNTY PD ROCKVILLE","County",1030232,51,68.8674534964038,17.8674534964038,67.5502535553121,71.5253839790229,4.95034128235194,6.68465486379803,1.7343135814461,6.55680017270985,6.94264825583198,"MD0160400"
1992,"GREENVILLE PD","City",60225,23,36.0424514357786,13.0424514357786,34.7847187674302,38.2289061357396,38.1901203819012,59.8463286604876,21.6562082785864,57.7579390077713,63.4768055387955,"SC0230200"
1993,"GREENVILLE PD","City",59697,47,70.1450089546427,23.1450089546427,68.5249090622177,72.9358785405047,78.7309245020688,117.50173200436,38.7708075022911,114.787860465715,122.17679035882,"SC0230200"
1994,"GREENVILLE PD","City",60040,37,54.6290532344481,17.6290532344481,53.3977234775171,56.7763114872461,61.6255829447035,90.9877635483812,29.3621806036777,88.9369145195156,94.5641430500434,"SC0230200"
1995,"GREENVILLE PD","City",59955,35,51.4563957822706,16.4563957822706,50.0776364337717,53.7382531387404,58.3771161704612,85.825028408424,27.4479122379628,83.5253714181832,89.6309784650829,"SC0230200"
1996,"GREENVILLE PD","City",60379,10,14.3790700966023,4.37907009660225,13.7095384052611,15.3263113340014,16.5620497192733,23.8146873856842,7.25263766641092,22.7058056696221,25.3835130326793,"SC0230200"
1997,"GREENVILLE PD","City",61374,9,12.6194769019189,3.61947690191894,12.0248862562557,13.2622931968603,14.664190047903,20.5616008438735,5.8974107959705,19.5928019295723,21.6089764344189,"SC0230200"
1998,"GREENVILLE PD","City",58901,5,7.11167971898131,2.11167971898131,6.68734339978319,7.65463400697031,8.4888202237653,12.073954124686,3.58513390092072,11.3535311790686,12.9957623927782,"SC0230200"
1999,"GREENVILLE PD","City",57168,3,4.39074047188357,1.39074047188357,4.05495891686966,4.81444585027855,5.24769101595298,7.68041644256151,2.43272542660853,7.09305715937179,8.42157474509962,"SC0230200"
2000,"GREENVILLE PD","City",56002,2,2.8164800430633,0.816480043063297,2.59322402357709,3.1147709649385,3.57130102496339,5.02924903229045,1.45794800732705,4.63059180668027,5.56189236980554,"SC0230200"
2001,"GREENVILLE PD","City",56714,1,1.29742506898872,0.297425068988716,1.1844324903435,1.44854293443784,1.76323306414642,2.28766277989335,0.524429715746934,2.08843052922295,2.55411879683648,"SC0230200"
2002,"GREENVILLE PD","City",57331,2,2.64376787643681,0.64376787643681,2.44720804390506,2.87698676105288,3.48851406743298,4.61141071398861,1.12289664655563,4.26855984354898,5.0182043938757,"SC0230200"
2003,"GREENVILLE PD","City",56728,2,2.56869430468393,0.56869430468393,2.3809746612113,2.79021012738263,3.52559582569454,4.52808895903951,1.00249313334496,4.19717716332552,4.91857658895541,"SC0230200"
2004,"GREENVILLE PD","City",56613,6,7.98515215172969,1.98515215172969,7.63529806950125,8.47132094174481,10.5982724815855,14.104803051825,3.5065305702395,13.4868282364497,14.9635612699288,"SC0230200"
2005,"GREENVILLE PD","City",57056,1,1.3376939816202,0.337693981620196,1.19115807483334,1.5100879233942,1.75266404935502,2.34452815062429,0.591864101269273,2.08769993485933,2.64667681469819,"SC0230200"
2006,"GREENVILLE PD","City",57557,3,3.86058569275378,0.860585692753779,3.61793221160563,4.17075330467747,5.21222440363466,6.70741298669802,1.49518858306336,6.28582485467559,7.24630071872659,"SC0230200"
2007,"GREENVILLE PD","City",57595,1,1.36093836222657,0.360938362226566,1.20143440249528,1.55958237742078,1.73626182828371,2.36294532898093,0.626683500697223,2.0860046922394,2.70784334997965,"SC0230200"
2010,"GREENVILLE PD","City",58409,2,2.54480918880665,0.544809188806645,2.36968840722292,2.75847185032053,3.42412984300365,4.35687854407137,0.932748701067721,4.05706039689588,4.72268289188401,"SC0230200"
2011,"GREENVILLE PD","City",59089,4,5.52020583645346,1.52020583645346,5.04809923284642,6.36452042949001,6.76944947452148,9.34218862470758,2.57273915018609,8.54321317478113,10.7710748692481,"SC0230200"
2012,"GREENVILLE PD","City",60953,9,12.1610711720144,3.16107117201443,11.621874677248,12.7612095150604,14.7654750381441,19.9515547586082,5.18607972046401,19.0669444937049,20.9361467279057,"SC0230200"
2013,"GREENVILLE PD","City",61185,17,22.0648372102329,5.06483721023289,21.5111822713759,22.7673228636005,27.7845877257498,36.0624944189473,8.27790669319751,35.1576077002139,37.2106281990693,"SC0230200"
2014,"GREENVILLE PD","City",61924,2,2.66942817721413,0.669428177214135,2.45405021764127,2.94622771228671,3.22976551902332,4.31081354113774,1.08104802211442,3.96300338744472,4.75781233816728,"SC0230200"
2015,"GREENVILLE PD","City",63011,2,2.78730337652505,0.787303376525053,2.5411774704701,3.07589155893878,3.17404897557569,4.42351871343901,1.24946973786331,4.03291087345083,4.88151522581578,"SC0230200"
2016,"GREENVILLE PD","City",65686,2,2.67795308313615,0.677953083136146,2.45456230640848,2.95664892810723,3.04478884389368,4.07690083600181,1.03211199210813,3.73681196359724,4.50118583580555,"SC0230200"
2017,"GREENVILLE PD","City",68922,4,5.39191532371794,1.39191532371794,5.08619184946287,5.78197029234863,5.80366211079191,7.82321366721502,2.01955155642311,7.37963473123658,8.38915047785704,"SC0230200"
2018,"GREENVILLE PD","City",69608,25,33.5736446679935,8.57364466799355,32.8511266442848,34.6853864889324,35.9154120216067,48.2324512527203,12.3170392311136,47.1944699521388,49.8295978751471,"SC0230200"
2019,"GREENVILLE PD","City",69830,4,5.35921543114314,1.35921543114314,5.03059874897729,5.76858616286457,5.72819704997852,7.67466050571837,1.94646345573985,7.20406522837934,8.26089956016693,"SC0230200"
2020,"GREENVILLE PD","City",72014,55,74.5331941913884,19.5331941913884,73.4985281502739,76.3283994345505,76.3740383814258,103.498200615697,27.1241622342716,102.06144381686,105.991056509221,"SC0230200"
2021,"GREENVILLE PD","City",73653,48,66.0292795874192,18.0292795874192,64.8711492291042,68.0109906385658,65.1704614883304,89.6491379677938,24.4786764794634,88.076723594564,92.3397426290386,"SC0230200"
2022,"GREENVILLE PD","City",73311,51,70.1561401337442,19.1561401337442,68.9572063693731,72.3270256902998,69.5666407496829,95.6966077856587,26.1299670359758,94.0612000509788,98.6578080919641,"SC0230200"
2002,"OGDEN CITY PD","City",80099,8,12.7299893052896,4.72998930528962,11.7499606431631,15.4967891557044,9.98764029513477,15.8928192677682,5.90517897263339,14.6692975482379,19.3470444770901,"UT0290100"
2003,"OGDEN CITY PD","City",79836,16,21.7103984877211,5.71039848772111,21.0378850324418,22.593085669164,20.0410842226564,27.1937452874907,7.15266106483429,26.3513766126081,28.299370796588,"UT0290100"
2006,"OGDEN CITY PD","City",80861,27,36.6967142688676,9.69671426886764,35.7170658126238,37.9777100167739,33.3906333090118,45.3824640665681,11.9918307575564,44.1709424971542,46.96665885504,"UT0290100"
2007,"OGDEN CITY PD","City",78160,49,66.063653022598,17.063653022598,64.8755705483106,68.331139390599,62.6919140225179,84.5236092919626,21.8316952694447,83.0035447138058,87.42469215788,"UT0290100"
2008,"OGDEN CITY PD","City",83353,29,38.7845345022104,9.78453450221041,37.8223878626646,40.2078103792732,34.7917891377635,46.530460214042,11.7386710762785,45.3761566622253,48.2379882898914,"UT0290100"
2009,"OGDEN CITY PD","City",83016,43,58.9282183622379,15.9282183622379,57.9479924551218,60.7501031718267,51.7972439047894,70.9841697531053,19.1869258483158,69.8034023021126,73.1787886333077,"UT0290100"
2010,"OGDEN CITY PD","City",82825,60,82.1502613326855,22.1502613326855,80.8156504005767,85.2948537277681,72.4418955629339,99.1853441988355,26.7434486359016,97.573981769486,102.982014763378,"UT0290100"
2011,"OGDEN CITY PD","City",84423,13,18.3930696765402,5.39306967654025,17.5110441467974,19.8378100416712,15.3986472880613,21.7867994225984,6.38815213453709,20.7420301894002,23.4981107537889,"UT0290100"
2012,"OGDEN CITY PD","City",85083,9,11.9700157528181,2.9700157528181,11.4382412583233,12.6547491110572,10.5779062797504,14.0686338667161,3.49072758696579,13.4436271150798,14.8734166767242,"UT0290100"
2013,"OGDEN CITY PD","City",84045,6,7.78840171322111,1.78840171322111,7.38091989260094,8.26583555158713,7.13903266107442,9.26694236804225,2.12790970696782,8.78210469700867,9.83501166230844,"UT0290100"
2014,"OGDEN CITY PD","City",84557,9,12.1647931208411,3.16479312084111,11.6867453959496,12.7729256736712,10.643707794742,14.3865003735245,3.74279257878249,13.8211447851149,15.1056987282794,"UT0290100"
2015,"OGDEN CITY PD","City",84642,4,5.3020138758993,1.3020138758993,4.98142948395705,5.74609666062714,4.72578625268779,6.26404607157121,1.53825981888342,5.88529274350447,6.78870615135174,"UT0290100"
2016,"OGDEN CITY PD","City",85930,6,8.32541331940019,2.32541331940019,7.87794850373691,8.87629096054516,6.98242755731409,9.68859923123494,2.70617167392085,9.16786745459899,10.3296764349414,"UT0290100"
2017,"OGDEN CITY PD","City",87323,7,9.46690714337742,2.46690714337742,9.03553546864332,9.95098205234718,8.0162156591047,10.8412527551475,2.82503709604276,10.3472572731621,11.3956025930708,"UT0290100"
2018,"OGDEN CITY PD","City",87616,9,12.6077687849632,3.60776878496318,11.9815274172399,13.4358242202332,10.2720964207451,14.3898018455113,4.11770542476624,13.6750449886321,15.3348979869353,"UT0290100"
2019,"OGDEN CITY PD","City",87875,9,12.5875949074185,3.58759490741848,11.9954947765424,13.3778313754095,10.2418207681366,14.3244323270765,4.08261155893995,13.6506341696073,15.2237056903665,"UT0290100"
2020,"OGDEN CITY PD","City",88309,30,41.9082442535125,11.9082442535125,40.8349504113463,43.3982846945791,33.9716223714457,47.4563682676879,13.4847458962422,46.2409838310323,49.1436713070912,"UT0290100"
2021,"OGDEN CITY PD","City",87828,55,76.9820017876558,21.9820017876558,75.6305692444761,79.3289615506653,62.6223983239969,87.6508650859131,25.0284667619162,86.1121387763311,90.3230877973599,"UT0290100"
2022,"OGDEN CITY PD","City",86870,51,70.7930056083871,19.7930056083871,69.4632382286751,73.3941975102204,58.7084148727984,81.4930420264615,22.7846271536631,79.9622864379821,84.4873920918849,"UT0290100"
2020,"HIDALGO CO SO EDINBURG","County",256027,38,47.2310952821985,9.23109528219847,46.2960836310006,48.3990746789085,14.8421846133416,18.4477009386504,3.60551632530884,18.0825005296319,18.9038947762965,"TX1080000"
2021,"HIDALGO CO SO EDINBURG","County",250859,57,71.3881697308981,14.3881697308981,70.2426601648162,73.1466008130571,22.7219274572569,28.4574879637159,5.73556050645904,28.0008531345561,29.1584518845475,"TX1080000"
2022,"HIDALGO CO SO EDINBURG","County",262967,57,70.8682554558897,13.8682554558897,69.9150840432481,72.337942335407,21.6757235698776,26.9494862305497,5.27376266067212,26.5870181594071,27.5083726609829,"TX1080000"
2021,"WICHITA FALLS POLICE DEPART","City",105468,70,94.7726607834544,24.7726607834544,93.1881186200885,97.1611007255093,66.3708423408048,89.8591618153889,23.4883194745841,88.3567704138587,92.1237728273119,"TX2430500"
2022,"WICHITA FALLS POLICE DEPART","City",103337,53,71.7774718109277,18.7774718109277,70.5312337933896,73.7622021760238,51.2885026660344,69.459604798792,18.1711021327576,68.2536108009615,71.3802434520295,"TX2430500"
2001,"OLATHE PD","City",93177,9,13.861789902757,4.86178990275697,13.2099636836767,14.7848664921134,9.65903602820439,14.8768364540144,5.21780042580999,14.1772794613227,15.8675064577239,"KS0460500"
2002,"OLATHE PD","City",93912,6,8.53431669574281,2.53431669574281,8.08486541332665,9.16214240014185,6.38895987733197,9.08756782492419,2.69860794759222,8.60898012322882,9.75609336415139,"KS0460500"
2020,"OLATHE PD","City",142228,18,24.9961803683931,6.99618036839313,24.225186355132,25.984885812984,12.6557358607307,17.5747253483091,4.91898948757848,17.0326422048626,18.2698806233541,"KS0460500"
2021,"OLATHE PD","City",143437,16,21.3928723445284,5.39287234452835,20.6976432784636,22.3709131582807,11.1547229794265,14.9144727960905,3.75974981666401,14.4297798186407,15.5963336923393,"KS0460500"
2022,"OLATHE PD","City",144646,53,72.4078030601769,19.4078030601769,71.0244013115305,74.6547225521972,36.6411791546258,50.0586280022793,13.4174488476535,49.1022228831288,51.6120200712064,"KS0460500"
2019,"BURLINGTON POLICE DEPARTMENT","City",54108,81,107.675604476757,26.6756044767572,106.559216042676,109.584844724251,149.700598802395,199.001265019511,49.3006662171162,196.938005549412,202.52983796158,"NC0010100"
2020,"BURLINGTON POLICE DEPARTMENT","City",55003,70,94.9673081998521,24.9673081998521,93.6237210967707,97.3196231161335,127.265785502609,172.658415358893,45.3926298562845,170.215662957967,176.935118295608,"NC0010100"
2021,"BURLINGTON POLICE DEPARTMENT","City",56065,79,106.135757841482,27.135757841482,104.83452820911,108.432876444954,140.907874788192,189.30840603136,48.4005312431678,186.987475624918,193.405647810496,"NC0010100"
2022,"BURLINGTON POLICE DEPARTMENT","City",60069,54,73.0905304752536,19.0905304752536,71.978721407233,75.1906097747876,89.8966188882785,121.677621527333,31.7810026390545,119.826734933548,125.17373316484,"NC0010100"
1992,"ROCK HILL PD","City",43031,106,174.305142980682,68.3051429806824,172.296831592334,180.85704251048,246.334038251493,405.068771305994,158.734733054501,400.401644378086,420.294770073853,"SC0460300"
1993,"ROCK HILL PD","City",44876,90,145.751945524748,55.7519455247481,143.68546637167,150.608738351773,200.552633924592,324.788184162466,124.235550237873,320.183319305797,335.610879650088,"SC0460300"
1994,"ROCK HILL PD","City",45134,128,202.824469317151,74.8244693171507,200.593807686816,208.376333297686,283.59994682501,449.382880571522,165.782933746512,444.440571823495,461.683726896988,"SC0460300"
1995,"ROCK HILL PD","City",47121,78,123.042434600515,45.042434600515,121.319646210558,126.688958307948,165.531291780735,261.120168503459,95.5888767227244,257.464073789941,268.85880670603,"SC0460300"
1996,"ROCK HILL PD","City",47454,59,91.2927382559546,32.2927382559546,89.8113301054002,94.0177097412609,124.33093100687,192.381544771683,68.0506137648136,189.259767575758,198.123887851943,"SC0460300"
1997,"ROCK HILL PD","City",48236,39,60.1402642493037,21.1402642493037,58.8485899483925,62.4954735355307,80.8524753296293,124.67921106498,43.8267357353505,122.001388897074,129.561890570385,"SC0460300"
1998,"ROCK HILL PD","City",46083,39,59.9445616353474,20.9445616353474,58.645566753585,61.7897495640637,84.6299069071024,130.079555661193,45.4496487540903,127.260739868466,134.083609062048,"SC0460300"
1999,"ROCK HILL PD","City",46818,29,42.9866887762941,13.9866887762941,42.0257647077995,44.3269268507786,61.9419881242257,91.8165850234826,29.8745968992569,89.7641178773111,94.6792405715294,"SC0460300"
2000,"ROCK HILL PD","City",49765,28,41.7878121504357,13.7878121504357,40.685355860382,43.404502835142,56.2644428815433,83.9702846386731,27.7058417571298,81.7549600329187,87.2189346632011,"SC0460300"
2002,"ROCK HILL PD","City",50946,8,10.4958151974103,2.49581519741034,10.067944931517,10.9301261132825,15.7029011109803,20.6018435155073,4.89894240452702,19.7619929563008,21.4543361859273,"SC0460300"
2003,"ROCK HILL PD","City",55137,9,11.8634844593582,2.86348445935824,11.4586024980749,12.4227636433435,16.3229773110615,21.5163764066928,5.19339909563131,20.7820565102834,22.5307210101084,"SC0460300"
